epoch,train_acc,test_acc,train_loss,test_loss,train_time,test_time
1,0.373,0.637,0.032,0.021,151.023,285.57
2,0.495,0.534,0.027,0.023,150.781,284.425
3,0.523,0.574,0.026,0.027,150.522,285.036
4,0.538,0.663,0.025,0.02,152.204,286.414
5,0.549,0.547,0.025,0.022,151.343,285.53
6,0.558,0.51,0.024,0.025,150.737,284.91
7,0.569,0.606,0.024,0.022,151.102,285.082
8,0.588,0.549,0.023,0.021,150.58,284.474
9,0.584,0.584,0.023,0.021,150.8,284.586
10,0.594,0.573,0.023,0.022,150.878,284.469
11,0.608,0.61,0.022,0.022,150.567,284.797
12,0.604,0.679,0.022,0.017,150.745,285.242
13,0.614,0.609,0.022,0.02,150.158,283.553
14,0.609,0.598,0.022,0.021,150.133,283.891
15,0.614,0.572,0.021,0.022,150.644,284.45
16,0.614,0.637,0.021,0.018,150.201,284.151
17,0.614,0.705,0.022,0.018,150.822,284.348
18,0.623,0.627,0.021,0.018,150.311,284.088
19,0.628,0.642,0.021,0.019,150.155,283.677
20,0.622,0.633,0.021,0.018,151.033,284.585
21,0.621,0.636,0.021,0.017,150.124,284.037
22,0.627,0.633,0.021,0.019,151.063,286.033
23,0.64,0.61,0.021,0.019,151.487,285.791
24,0.643,0.57,0.021,0.021,151.441,285.771
25,0.63,0.538,0.021,0.022,150.73,286.071
26,0.636,0.66,0.021,0.018,150.956,285.507
27,0.636,0.681,0.02,0.017,151.215,285.71
28,0.642,0.606,0.02,0.018,151.883,286.628
29,0.643,0.691,0.02,0.017,151.213,285.63
30,0.642,0.664,0.02,0.018,151.073,285.722
